# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
291, -46000, 0, 15000, 8000, 0, 0, 4800, 0
292, -27000, 0, 4000, 8000, 4. 0, 4800, 0
293, -52000, 0, 15000, 8000, 0, 0, 4800, 0
294, -52000, 0, 4000, 8000, 4. 0, 4800, 0
295, -39000, 0, 15000, 8000, 0, 0, 4800, 0
296, -40000, 0, 4000, 8000, 4. 0, 4800, 0
297, 354000, 0, 15000, 8000, 0, 0, 4800, 0
298, 0, 12500, 8000, 8000, 0, 0, 4800, 0
299, -25000, 0, 4000, 8000, 4. 0, 4800, 0
300, -33000, 0, 15000, 8000, 0, 0, 4800, 0
301, -40000, 0, 4000, 8000, 4. 0, 4800, 0
302, -46000, 0, 15000, 8000, 0, 0, 4800, 0
303, -27000, 0, 4000, 8000, 4. 0, 4800, 0
304, -52000, 0, 15000, 8000, 0, 0, 4800, 0
305, -52000, 0, 4000, 8000, 4. 0, 4800, 0
306, -39000, 0, 15000, 8000, 0, 0, 4800, 0
307, -40000, 0, 4000, 8000, 4. 0, 4800, 0
308, 354000, 0, 15000, 8000, 0, 0, 4800, 0
309, 0, 12500, 8000, 8000, 0, 0, 4800, 0
310, -25000, 0, 4000, 8000, 4. 0, 4800, 0
311, -33000, 0, 15000, 8000, 0, 0, 4800, 0
312, -40000, 0, 4000, 8000, 4. 0, 4800, 0
313, -46000, 0, 15000, 8000, 0, 0, 4800, 0
314, -27000, 0, 4000, 8000, 4. 0, 4800, 0
315, -52000, 0, 15000, 8000, 0, 0, 4800, 0
316, -52000, 0, 4000, 8000, 4. 0, 4800, 0
317, -39000, 0, 15000, 8000, 0, 0, 4800, 0
318, -40000, 0, 4000, 8000, 4. 0, 4800, 0
319, 354000, 0, 15000, 8000, 0, 0, 4800, 0
320, 0, 12500, 8000, 8000, 0, 0, 4800, 0
321, -25000, 0, 4000, 8000, 4. 0, 4800, 0
322, -33000, 0, 15000, 8000, 0, 0, 4800, 0
323, -40000, 0, 4000, 8000, 4. 0, 4800, 0
324, -46000, 0, 15000, 8000, 0, 0, 4800, 0
325, -27000, 0, 4000, 8000, 4. 0, 4800, 0
326, -52000, 0, 15000, 8000, 0, 0, 4800, 0
327, -52000, 0, 4000, 8000, 4. 0, 4800, 0
328, -39000, 0, 15000, 8000, 0, 0, 4800, 0
329, -40000, 0, 4000, 8000, 4. 0, 4800, 0
330, 354000, 0, 15000, 8000, 0, 0, 4800, 0
331, 0, 12500, 8000, 8000, 0, 0, 4800, 0
332, -25000, 0, 4000, 8000, 4. 0, 4800, 0
333, -33000, 0, 15000, 8000, 0, 0, 4800, 0
