# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
420, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
421, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
422, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
423, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
424, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
425, -27000, 0, 8000, 8000, -2.5, 5, 4800, 0
426, -52000, 0, 15000, 8000, 0, 0, 4800, 0
427, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
428, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
429, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
430, -5200, 0, 8000, 8000, -2.5, 5, 4800, 0
